journal_name,issn,field,n_articles,n_with_review_time,median_days_submission_to_acceptance,p25_review,p75_review,mean_days_submission_to_acceptance,median_days_acceptance_to_publication,median_days_total,data_sources,publisher,sjr_rank,sjr_score,primary_area,mega_domain
Nordic Journal of Music Therapy,1944-8260,Sociology & Social Sciences,106,106,251.5,198.75,338.75,276.41509433962267,49.0,309.0,"crossref_assertion, pubmed",Taylor and Francis Ltd.,9907,0.586,Arts and Humanities,Arts & Humanities
NORA - Nordic Journal of Feminist and Gender Research,0803-8740,Sociology & Social Sciences,102,102,247.0,184.0,343.75,283.6078431372549,24.5,291.0,crossref_assertion,Routledge,11736,0.493,Social Sciences,Social Sciences
American Anthropologist,0002-7294,Sociology & Social Sciences,102,99,245.0,161.5,443.5,302.979797979798,165.0,400.0,crossref_assertion,John Wiley &amp; Sons Inc.,6759,0.802,Arts and Humanities,Arts & Humanities
Genus,0016-6987,Sociology & Social Sciences,100,100,244.5,148.0,306.5,242.18,30.0,285.5,crossref_assertion,Springer International Publishing AG,7634,0.733,Social Sciences,Social Sciences
Race Ethnicity and Education,1470-109X,Sociology & Social Sciences,100,100,244.5,204.0,312.25,263.46,25.5,278.5,crossref_assertion,Routledge,1959,1.681,Social Sciences,Social Sciences
Human Factors and Ergonomics in Manufacturing and Service Industries,1520-6564,Sociology & Social Sciences,103,103,244.0,114.0,338.5,253.85436893203882,17.0,267.0,crossref_assertion,John Wiley and Sons Inc,8471,0.675,Engineering,Physical Sciences
Reproductive Biomedicine and Society Online,2405-6618,Sociology & Social Sciences,100,100,243.0,164.75,305.75,246.34,,,pubmed,Elsevier Ltd,5672,0.903,"Biochemistry, Genetics and Molecular Biology",Life Sciences
HOMO- Journal of Comparative Human Biology,1618-1301,Sociology & Social Sciences,100,99,241.0,137.5,372.0,292.7979797979798,,,pubmed,Elsevier B.V.,17440,0.276,Medicine,Health Sciences
Journal of Agrarian Change,1471-0366,Sociology & Social Sciences,100,98,241.0,73.5,355.75,258.83673469387753,15.5,265.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,3628,1.186,Arts and Humanities,Arts & Humanities
Journal of Chinese Sociology,2198-2635,Sociology & Social Sciences,102,102,240.5,148.0,371.75,269.7843137254902,36.5,288.5,crossref_assertion,SpringerOpen,13317,0.421,Social Sciences,Social Sciences
Social Work Education,1470-1227,Sociology & Social Sciences,101,101,239.0,172.0,364.0,275.980198019802,14.0,265.0,crossref_assertion,Taylor and Francis Ltd.,8624,0.664,Social Sciences,Social Sciences
Journal of China Tourism Research,1938-8160,Sociology & Social Sciences,101,101,238.0,187.0,309.0,259.65346534653463,20.0,262.0,crossref_assertion,Taylor and Francis Ltd.,10427,0.558,"Business, Management and Accounting",Social Sciences
Journal of Women and Aging,1540-7322,Sociology & Social Sciences,100,100,237.0,178.0,349.25,270.37,19.0,261.5,crossref_assertion,Routledge,9079,0.635,Medicine,Health Sciences
Ethnic and Racial Studies,0141-9870,Sociology & Social Sciences,100,100,236.5,102.25,260.25,185.45,35.0,276.5,crossref_assertion,Routledge,4542,1.036,Social Sciences,Social Sciences
Contemporary Islam,1872-0218,Sociology & Social Sciences,19,19,236.0,201.5,327.0,294.7368421052632,28.0,287.0,crossref_assertion,Springer Netherlands,13751,0.401,Arts and Humanities,Arts & Humanities
Journal of Aging and Social Policy,1545-0821,Sociology & Social Sciences,101,101,233.0,168.0,324.0,254.24752475247524,122.0,367.0,crossref_assertion,Routledge,8961,0.643,Nursing,Health Sciences
"Population, Space and Place",1544-8444,Sociology & Social Sciences,100,100,233.0,155.75,326.0,252.64,10.0,244.0,crossref_assertion,John Wiley and Sons Ltd,4608,1.028,Social Sciences,Social Sciences
Sport in Society,1743-0445,Sociology & Social Sciences,101,101,233.0,156.0,362.0,276.0792079207921,22.0,290.0,crossref_assertion,Taylor and Francis Ltd.,10091,0.575,Health Professions,Health Sciences
Journal of Social Issues,0022-4537,Sociology & Social Sciences,100,100,232.5,111.5,281.25,209.11,21.0,264.5,crossref_assertion,Wiley-Blackwell Publishing Ltd,1824,1.746,Social Sciences,Social Sciences
Journal of Tourism and Cultural Change,1476-6825,Sociology & Social Sciences,108,108,232.0,142.75,379.75,281.0462962962963,12.5,244.0,crossref_assertion,Taylor and Francis Ltd.,7366,0.752,"Business, Management and Accounting",Social Sciences
Economic Anthropology,2330-4847,Sociology & Social Sciences,101,101,231.0,29.0,355.0,225.7029702970297,22.0,259.0,crossref_assertion,John Wiley and Sons Inc,11835,0.487,"Economics, Econometrics and Finance",Social Sciences
Social Development,1467-9507,Sociology & Social Sciences,100,100,230.5,177.5,295.75,242.34,20.0,252.5,crossref_assertion,Wiley-Blackwell Publishing Ltd,5300,0.946,Psychology,Social Sciences
International Journal of Sociology,1557-9336,Sociology & Social Sciences,100,100,229.5,187.75,294.5,242.92,14.0,246.5,crossref_assertion,Taylor and Francis Ltd.,11062,0.525,Social Sciences,Social Sciences
Journal of Early Childhood Teacher Education,1745-5642,Sociology & Social Sciences,100,100,229.5,168.75,286.25,252.8,14.0,247.5,crossref_assertion,Taylor and Francis Ltd.,9650,0.601,Social Sciences,Social Sciences
Creativity Studies,2345-0487,Sociology & Social Sciences,100,99,229.0,166.0,304.0,265.8989898989899,182.0,578.0,crossref_assertion,Vilnius Gediminas Technical University,15189,0.348,Social Sciences,Social Sciences
Global Networks,1471-0374,Sociology & Social Sciences,100,100,228.0,162.75,287.0,235.56,18.5,246.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,3154,1.285,Social Sciences,Social Sciences
IISE Transactions on Occupational Ergonomics and Human Factors,2472-5838,Sociology & Social Sciences,105,105,224.0,167.0,276.0,225.6952380952381,17.0,243.0,crossref_assertion,Taylor and Francis Ltd.,11514,0.504,Medicine,Health Sciences
Sociology Compass,1751-9020,Sociology & Social Sciences,100,100,224.0,161.5,338.75,267.68,12.0,239.0,crossref_assertion,John Wiley and Sons Inc,3048,1.31,Social Sciences,Social Sciences
Annals of Leisure Research,1174-5398,Sociology & Social Sciences,103,103,223.0,159.5,331.0,259.3009708737864,16.0,239.0,crossref_assertion,Routledge,8657,0.661,"Business, Management and Accounting",Social Sciences
Contemporary Jewry,0147-1694,Sociology & Social Sciences,100,100,223.0,143.0,317.25,239.84,42.0,269.0,crossref_assertion,Association for the Sociological Study of Jewry,13822,0.398,Arts and Humanities,Arts & Humanities
International Migration,1468-2435,Sociology & Social Sciences,102,102,221.5,119.75,354.75,237.09803921568627,17.5,263.5,crossref_assertion,Wiley-Blackwell Publishing Ltd,6123,0.858,Social Sciences,Social Sciences
Communication and Critical/ Cultural Studies,1479-1420,Sociology & Social Sciences,105,105,218.0,5.0,343.0,196.41904761904763,57.0,368.0,crossref_assertion,Routledge,12217,0.469,Social Sciences,Social Sciences
Critical Discourse Studies,1740-5912,Sociology & Social Sciences,101,101,212.0,142.0,321.0,256.51485148514854,12.0,224.0,crossref_assertion,Routledge,7052,0.777,Social Sciences,Social Sciences
Journal of Loss and Trauma,1532-5024,Sociology & Social Sciences,106,106,212.0,147.5,291.75,227.8490566037736,21.0,238.0,"crossref_assertion, pubmed",Routledge,9474,0.612,Medicine,Health Sciences
Journal of Human Evolution,0047-2484,Sociology & Social Sciences,100,100,210.0,146.5,306.0,236.56,,,pubmed,Academic Press,2727,1.393,Agricultural and Biological Sciences,Life Sciences
Sexuality Research and Social Policy,1553-6610,Sociology & Social Sciences,100,100,210.0,132.5,333.75,254.37,31.0,251.5,crossref_assertion,Springer New York,4536,1.037,Social Sciences,Social Sciences
Journal of Contemporary East Asia Studies,2476-1028,Sociology & Social Sciences,45,45,207.0,176.0,289.0,226.55555555555554,9.0,225.0,crossref_assertion,Routledge,14030,0.39,Social Sciences,Social Sciences
Analyses of Social Issues and Public Policy,1529-7489,Sociology & Social Sciences,100,100,206.5,154.75,287.25,229.88,16.5,223.5,crossref_assertion,Wiley-Blackwell Publishing Ltd,7008,0.78,Environmental Science,Physical Sciences
Child and Youth Care Forum,1573-3319,Sociology & Social Sciences,78,78,206.5,159.25,273.75,232.96153846153845,19.0,227.5,crossref_assertion,Springer New York,6096,0.86,Social Sciences,Social Sciences
Lithic Technology,0197-7261,Sociology & Social Sciences,100,100,206.0,159.5,288.25,241.88,20.0,229.5,crossref_assertion,Maney Publishing,7410,0.749,Arts and Humanities,Arts & Humanities
Dynamics of Asymmetric Conflict: Pathways toward Terrorism and Genocide,1746-7594,Sociology & Social Sciences,102,101,205.0,140.0,313.0,223.5742574257426,19.0,237.5,crossref_assertion,Routledge,13441,0.415,Psychology,Social Sciences
"Culture, Agriculture, Food and Environment",2153-9561,Sociology & Social Sciences,69,68,204.5,68.0,357.75,247.63235294117646,60.0,263.0,crossref_assertion,John Wiley &amp; Sons Inc.,15491,0.337,Agricultural and Biological Sciences,Life Sciences
Multicultural Education Review,2377-0031,Sociology & Social Sciences,104,104,204.0,134.75,289.0,227.19230769230768,59.0,298.0,crossref_assertion,Taylor and Francis Ltd.,15719,0.33,Social Sciences,Social Sciences
African Identities,1472-5843,Sociology & Social Sciences,101,101,203.0,149.0,288.0,236.98019801980197,15.0,223.0,crossref_assertion,Routledge,15739,0.329,Social Sciences,Social Sciences
Australian Social Work,0312-407X,Sociology & Social Sciences,101,101,202.0,155.0,293.0,240.35643564356437,38.0,246.0,crossref_assertion,Taylor and Francis Ltd.,9543,0.607,Social Sciences,Social Sciences
Child and Adolescent Social Work Journal,0738-0151,Sociology & Social Sciences,49,49,198.0,118.0,247.0,193.3265306122449,21.0,219.0,crossref_assertion,Springer New York,9182,0.629,Social Sciences,Social Sciences
International Journal of Bullying Prevention,2523-3653,Sociology & Social Sciences,6,6,197.5,166.25,230.25,183.33333333333334,28.5,218.5,crossref_assertion,Springer International Publishing,8843,0.65,Psychology,Social Sciences
"Culture, Medicine and Psychiatry",1573-076X,Sociology & Social Sciences,33,33,196.0,134.0,321.0,219.96969696969697,40.0,115.0,"crossref_assertion, pubmed",Springer New York,8127,0.698,Arts and Humanities,Arts & Humanities
Journal of Transport and Health,2214-1413,Sociology & Social Sciences,84,84,196.0,122.5,265.25,210.45238095238096,,,pubmed,Elsevier Ltd,5919,0.877,Engineering,Physical Sciences
Journal of Population Ageing,1874-7876,Sociology & Social Sciences,103,103,195.0,132.0,273.0,220.46601941747574,20.0,222.0,crossref_assertion,Springer Science and Business Media B.V.,10849,0.536,Social Sciences,Social Sciences
Fashion and Textiles,2198-0802,Sociology & Social Sciences,101,101,193.0,126.0,298.0,228.63366336633663,27.0,217.0,crossref_assertion,Springer Singapore,7387,0.75,"Business, Management and Accounting",Social Sciences
Feminist Anthropology,2643-7961,Sociology & Social Sciences,103,101,193.0,107.0,274.0,201.1881188118812,77.5,294.0,crossref_assertion,John Wiley and Sons Inc,6168,0.854,Social Sciences,Social Sciences
Social Work in Mental Health,1533-2985,Sociology & Social Sciences,5,5,191.0,156.0,219.0,284.6,19.0,200.0,crossref_assertion,Routledge,11772,0.491,Medicine,Health Sciences
JMIR Human Factors,2292-9495,Sociology & Social Sciences,100,100,190.5,142.75,273.0,215.65,,,pubmed,JMIR Publications Inc.,5228,0.954,Medicine,Health Sciences
Journal of Occupational Science,1442-7591,Sociology & Social Sciences,100,100,189.0,76.75,290.75,202.47,69.0,256.0,crossref_assertion,Taylor and Francis Ltd.,6796,0.798,Social Sciences,Social Sciences
Social Science Quarterly,0038-4941,Sociology & Social Sciences,101,101,189.0,138.0,313.0,221.34653465346534,18.0,209.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,6036,0.867,Social Sciences,Social Sciences
Theoretical Issues in Ergonomics Science,1464-536X,Sociology & Social Sciences,102,102,188.5,120.75,370.5,277.47058823529414,13.0,218.5,crossref_assertion,Taylor and Francis Ltd.,9555,0.607,Social Sciences,Social Sciences
Evolutionary Human Sciences,2513-843X,Sociology & Social Sciences,100,100,187.5,130.5,245.0,186.67,41.0,152.0,pubmed,Cambridge University Press,4894,0.991,Agricultural and Biological Sciences,Life Sciences
Medical Anthropology Quarterly,1548-1387,Sociology & Social Sciences,144,144,187.5,1.0,356.5,215.79166666666666,13.5,14.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,7129,0.77,Arts and Humanities,Arts & Humanities
WMU Journal of Maritime Affairs,1651-436X,Sociology & Social Sciences,107,107,186.0,133.5,279.5,219.4018691588785,26.0,211.0,crossref_assertion,Springer Science and Business Media Deutschland GmbH,10082,0.576,Engineering,Physical Sciences
Forensic Sciences Research,2471-1411,Sociology & Social Sciences,100,99,184.0,113.0,333.5,225.08080808080808,,,pubmed,Oxford University Press,11240,0.517,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Anthropologischer Anzeiger,0003-5548,Sociology & Social Sciences,100,100,183.5,113.5,302.0,218.43,,,pubmed,Schweizerbart Science Publishers,20577,0.21,Agricultural and Biological Sciences,Life Sciences
Journal of Applied Youth Studies,2204-9207,Sociology & Social Sciences,101,101,183.0,117.0,254.0,190.88118811881188,19.0,206.0,crossref_assertion,Springer Nature,11966,0.48,Social Sciences,Social Sciences
IISE Transactions on Healthcare Systems Engineering,2472-5579,Sociology & Social Sciences,49,48,182.0,148.25,323.0,283.4583333333333,48.0,260.0,crossref_assertion,Taylor and Francis Ltd.,14818,0.362,Engineering,Physical Sciences
Quality and Quantity,0033-5177,Sociology & Social Sciences,101,101,181.0,122.0,241.0,196.44554455445544,21.0,199.0,crossref_assertion,Springer Netherlands,6013,0.869,Mathematics,Physical Sciences
Disciplinary and Interdisciplinary Science Education Research,2662-2300,Sociology & Social Sciences,104,104,178.5,122.75,228.5,182.39423076923077,20.0,195.0,"crossref_assertion, pubmed",Springer,6484,0.825,"Pharmacology, Toxicology and Pharmaceutics",Health Sciences
Iconos,1390-1249,Sociology & Social Sciences,102,102,176.0,158.0,222.25,189.02941176470588,89.0,249.0,crossref_assertion,FLACSO Ecuador,15747,0.329,Social Sciences,Social Sciences
Military Psychology,1532-7876,Sociology & Social Sciences,103,103,176.0,122.0,217.0,194.8640776699029,20.5,195.0,crossref_assertion,Taylor and Francis Ltd.,8219,0.692,Psychology,Social Sciences
Porn Studies,2326-8743,Sociology & Social Sciences,101,101,176.0,101.0,245.0,183.16831683168317,51.0,243.0,crossref_assertion,Taylor and Francis Ltd.,7793,0.722,Psychology,Social Sciences
Journal of Marital and Family Therapy,1752-0606,Sociology & Social Sciences,100,100,175.0,132.5,247.5,201.18,13.5,190.0,crossref_assertion,Wiley-Blackwell,7951,0.71,Psychology,Social Sciences
Defence and Peace Economics,1476-8267,Sociology & Social Sciences,100,100,174.5,125.75,230.5,193.64,15.0,206.0,crossref_assertion,Routledge,7524,0.741,"Economics, Econometrics and Finance",Social Sciences
Cogent Social Sciences,2331-1886,Sociology & Social Sciences,108,107,173.0,120.0,249.5,218.55140186915887,12.0,186.0,crossref_assertion,Cogent OA,13373,0.418,Social Sciences,Social Sciences
Australian Feminist Studies,0816-4649,Sociology & Social Sciences,102,102,172.0,91.5,269.75,189.19607843137254,13.5,193.5,crossref_assertion,Routledge,13858,0.397,Social Sciences,Social Sciences
World Leisure Journal,2333-4509,Sociology & Social Sciences,105,105,171.0,121.0,223.0,179.3904761904762,13.0,183.0,crossref_assertion,Taylor and Francis Ltd.,10919,0.532,"Business, Management and Accounting",Social Sciences
Archaeological and Anthropological Sciences,1866-9565,Sociology & Social Sciences,101,101,170.0,131.0,216.0,196.83168316831683,41.0,218.0,crossref_assertion,Springer Verlag,5804,0.888,Arts and Humanities,Arts & Humanities
Crime Science,2193-7680,Sociology & Social Sciences,104,104,170.0,115.75,240.25,194.5096153846154,25.0,198.0,crossref_assertion,SpringerOpen,5874,0.881,Social Sciences,Social Sciences
Journal of Global Fashion Marketing,2093-2685,Sociology & Social Sciences,100,100,170.0,131.5,238.25,195.17,44.0,225.0,crossref_assertion,Taylor and Francis Ltd.,3706,1.171,"Business, Management and Accounting",Social Sciences
Middle East Critique,1943-6149,Sociology & Social Sciences,100,100,169.0,36.75,317.0,189.84,25.0,191.5,crossref_assertion,Routledge,13708,0.403,Arts and Humanities,Arts & Humanities
Journal of Racial and Ethnic Health Disparities,2196-8837,Sociology & Social Sciences,175,175,167.0,124.0,227.5,187.22857142857143,35.0,209.0,"crossref_assertion, pubmed",Springer Science and Business Media Deutschland GmbH,2507,1.46,Medicine,Health Sciences
Accident Analysis and Prevention,1879-2057,Sociology & Social Sciences,100,100,164.5,129.0,210.5,177.8,,,pubmed,Elsevier Ltd,1419,2.007,Engineering,Physical Sciences
Continuum,1469-3666,Sociology & Social Sciences,103,103,164.0,114.5,242.0,195.9902912621359,10.0,174.0,crossref_assertion,Taylor and Francis Ltd.,13349,0.419,Arts and Humanities,Arts & Humanities
International Journal of Cultural Policy,1477-2833,Sociology & Social Sciences,105,105,164.0,118.0,208.0,173.7904761904762,10.0,194.0,crossref_assertion,Routledge,8133,0.698,Social Sciences,Social Sciences
International Journal of Industrial Ergonomics,0169-8141,Sociology & Social Sciences,2,2,159.5,132.75,186.25,159.5,,,pubmed,Elsevier B.V.,7018,0.78,Medicine,Health Sciences
Sexuality and Culture,1095-5143,Sociology & Social Sciences,102,102,158.5,121.0,213.5,169.7843137254902,28.0,191.0,crossref_assertion,Springer New York,9777,0.594,Social Sciences,Social Sciences
Social Semiotics,1035-0330,Sociology & Social Sciences,83,83,158.0,79.0,234.0,164.46987951807228,14.0,178.0,crossref_assertion,Routledge,10818,0.537,Social Sciences,Social Sciences
International Social Science Journal,0020-8701,Sociology & Social Sciences,101,100,157.0,90.5,224.25,173.97,15.0,174.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,14762,0.364,Social Sciences,Social Sciences
Applied Research in Quality of Life,1871-2584,Sociology & Social Sciences,100,100,154.5,121.5,220.25,187.41,33.5,195.5,crossref_assertion,Springer Netherlands,5503,0.922,Social Sciences,Social Sciences
Contemporary Family Therapy,0892-2764,Sociology & Social Sciences,27,27,154.0,105.5,219.0,171.5185185185185,17.0,165.0,crossref_assertion,Kluwer Academic/Human Sciences Press Inc.,11194,0.519,Psychology,Social Sciences
Practice,1742-4909,Sociology & Social Sciences,103,103,154.0,83.5,212.5,169.37864077669903,25.0,188.0,crossref_assertion,Taylor and Francis Ltd.,13681,0.405,Social Sciences,Social Sciences
Tourism Recreation Research,0250-8281,Sociology & Social Sciences,100,100,152.5,104.5,238.5,180.85,55.0,208.5,crossref_assertion,Taylor and Francis Ltd.,4549,1.036,"Business, Management and Accounting",Social Sciences
Asian Pacific Journal of Social Work,0218-5385,Sociology & Social Sciences,83,83,152.0,88.0,206.5,160.09638554216866,18.0,171.0,crossref_assertion,Routledge,12325,0.463,Social Sciences,Social Sciences
International Journal of Osteoarchaeology,1099-1212,Sociology & Social Sciences,103,103,152.0,85.5,217.0,162.62135922330097,15.0,171.0,crossref_assertion,John Wiley and Sons Ltd,9775,0.594,Arts and Humanities,Arts & Humanities
Journal of Ethnic Foods,2352-619X,Sociology & Social Sciences,103,103,152.0,128.5,227.0,199.75728155339806,36.0,202.0,crossref_assertion,BioMed Central Ltd,11197,0.519,Agricultural and Biological Sciences,Life Sciences
Anthropology and Education Quarterly,0161-7761,Sociology & Social Sciences,102,102,150.5,57.0,330.75,193.90196078431373,28.0,187.0,crossref_assertion,Wiley-Blackwell,6701,0.807,Social Sciences,Social Sciences
Ergonomics,0014-0139,Sociology & Social Sciences,100,100,148.0,116.5,199.25,174.9,19.5,172.5,crossref_assertion,Taylor and Francis Ltd.,7605,0.736,Health Professions,Health Sciences
Journal of Ethnicity in Criminal Justice,1537-7938,Sociology & Social Sciences,103,103,145.0,97.5,204.5,154.97087378640776,15.0,163.0,crossref_assertion,Routledge,12531,0.454,Social Sciences,Social Sciences
Journal of Latin American and Caribbean Anthropology,1935-4932,Sociology & Social Sciences,100,100,142.5,7.75,292.25,165.36,36.0,227.5,crossref_assertion,Wiley-Blackwell,13690,0.404,Social Sciences,Social Sciences
Scandinavian Journal of Disability Research,1745-3011,Sociology & Social Sciences,1,1,141.0,141.0,141.0,141.0,,,pubmed,Stockholm University Press,14148,0.386,Health Professions,Health Sciences
Anthropological Science,0918-7960,Sociology & Social Sciences,100,100,138.0,67.0,254.5,165.68,69.0,171.0,jstage,Anthropological Society of Nippon,19878,0.223,Social Sciences,Social Sciences
Kotuitui,1177-083X,Sociology & Social Sciences,101,101,136.0,98.0,204.0,166.990099009901,30.0,185.0,crossref_assertion,Routledge,11340,0.513,Social Sciences,Social Sciences
International Journal of Gastronomy and Food Science,1878-4518,Sociology & Social Sciences,14,14,134.0,47.75,188.75,125.78571428571429,,,pubmed,Elsevier B.V.,8308,0.685,Agricultural and Biological Sciences,Life Sciences
Journal of Physiological Anthropology,1880-6791,Sociology & Social Sciences,100,100,130.5,91.0,174.0,137.95,,,pubmed,BioMed Central Ltd,8566,0.668,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Journal of Progressive Human Services,1042-8232,Sociology & Social Sciences,2,2,130.5,108.25,152.75,130.5,17.0,147.5,crossref_assertion,Routledge,10188,0.571,Social Sciences,Social Sciences
Analytic Methods in Accident Research,2213-6657,Sociology & Social Sciences,100,100,126.5,98.0,177.0,144.65,5.0,132.0,scrape_elsevier,Elsevier B.V.,206,6.076,Social Sciences,Social Sciences
Letters in Spatial and Resource Sciences,1864-4031,Sociology & Social Sciences,104,104,126.5,97.75,173.25,139.03846153846155,23.0,159.0,crossref_assertion,Springer Verlag,15522,0.336,"Economics, Econometrics and Finance",Social Sciences
Social Work,1545-6846,Sociology & Social Sciences,100,99,123.0,61.0,173.5,135.04040404040404,,,pubmed,Oxford University Press,6686,0.809,Medicine,Health Sciences
World Englishes,0883-2919,Sociology & Social Sciences,101,101,122.0,84.0,165.0,129.12871287128712,18.0,142.0,crossref_assertion,Wiley-Blackwell,7260,0.76,Social Sciences,Social Sciences
Journal of Multicultural Counseling and Development,0883-8534,Sociology & Social Sciences,101,100,120.5,8.5,659.25,291.92,54.5,181.0,crossref_assertion,Wiley-Blackwell,12869,0.439,Psychology,Social Sciences
Asia Pacific Translation and Intercultural Studies,2330-6351,Sociology & Social Sciences,59,59,120.0,72.5,200.0,144.32203389830508,21.0,144.0,crossref_assertion,Informa UK Limited,11166,0.52,Social Sciences,Social Sciences
Smith College Studies in Social Work,1553-0426,Sociology & Social Sciences,89,89,120.0,57.0,195.0,146.2134831460674,19.0,159.0,crossref_assertion,Routledge,13743,0.402,Social Sciences,Social Sciences
Intercultural Education,1467-5986,Sociology & Social Sciences,102,102,117.0,1.0,419.0,232.37254901960785,22.5,133.5,crossref_assertion,Routledge,14786,0.363,Social Sciences,Social Sciences
Evolutionary Anthropology,1520-6505,Sociology & Social Sciences,117,117,115.0,29.0,262.0,162.98290598290598,19.0,28.0,"crossref_assertion, pubmed",Wiley-Liss Inc.,2679,1.405,Medicine,Health Sciences
Asian Social Work and Policy Review,1753-1403,Sociology & Social Sciences,107,107,113.0,87.0,147.0,125.35514018691589,15.0,134.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,13398,0.417,Social Sciences,Social Sciences
South Asian Diaspora,1943-8184,Sociology & Social Sciences,101,101,107.0,73.0,148.0,131.23762376237624,18.5,136.0,crossref_assertion,Routledge,14434,0.375,Social Sciences,Social Sciences
Frontiers in Neuroergonomics,2673-6195,Sociology & Social Sciences,100,100,103.5,68.75,144.0,112.28,,40.0,pubmed,Frontiers Media SA,11103,0.523,Computer Science,Physical Sciences
International Journal of Play,2159-4953,Sociology & Social Sciences,100,100,93.5,7.75,216.0,138.85,100.0,312.0,crossref_assertion,Taylor and Francis Ltd.,15828,0.326,Psychology,Social Sciences
Journal of Multilingual and Multicultural Development,0143-4632,Sociology & Social Sciences,100,100,90.0,59.75,158.75,123.62,12.0,107.0,crossref_assertion,Routledge,4204,1.088,Social Sciences,Social Sciences
Frontiers in Sports and Active Living,2624-9367,Sociology & Social Sciences,100,100,89.5,62.75,126.0,100.2,,73.5,pubmed,Frontiers Media SA,6061,0.864,"Biochemistry, Genetics and Molecular Biology",Life Sciences
China Economic Journal,1753-8963,Sociology & Social Sciences,102,102,89.0,23.75,163.0,106.26470588235294,17.0,116.5,crossref_assertion,Routledge,6130,0.857,"Economics, Econometrics and Finance",Social Sciences
Journal for Cultural Research,1479-7585,Sociology & Social Sciences,100,100,86.5,65.0,124.0,91.83,8.0,104.5,crossref_assertion,Routledge,14655,0.367,Social Sciences,Social Sciences
Journal of Occupational Medicine and Toxicology,1745-6673,Sociology & Social Sciences,101,101,77.0,55.0,104.0,84.27722772277228,28.0,98.0,"crossref_assertion, pubmed",BioMed Central Ltd,7189,0.765,Medicine,Health Sciences
American Sociologist,0003-1232,Sociology & Social Sciences,34,34,72.0,53.25,111.75,103.58823529411765,34.5,117.5,crossref_assertion,Springer,11562,0.501,Social Sciences,Social Sciences
Archivos de Prevencion Riesgos Laborales,1138-9672,Sociology & Social Sciences,99,99,63.0,7.5,142.5,85.20202020202021,,,pubmed,,20269,0.216,Engineering,Physical Sciences
Integrative Psychological and Behavioral Science,1932-4502,Sociology & Social Sciences,59,59,51.0,25.5,85.5,67.98305084745763,22.0,81.0,"crossref_assertion, pubmed",Springer New York,12194,0.47,Arts and Humanities,Arts & Humanities
Journal of Contemporary Asia,0047-2336,Sociology & Social Sciences,100,100,47.5,4.75,151.75,88.23,37.5,87.5,crossref_assertion,Taylor and Francis Ltd.,5171,0.96,Social Sciences,Social Sciences
Archaeology in Oceania,0728-4896,Sociology & Social Sciences,102,101,46.0,6.0,104.0,64.61386138613861,26.5,89.0,crossref_assertion,Wiley-Blackwell,13733,0.402,Arts and Humanities,Arts & Humanities
Chinese Medicine and Culture,2589-9473,Sociology & Social Sciences,22,22,34.0,29.5,101.75,81.22727272727273,,,pubmed,Lippincott Williams and Wilkins,21023,0.202,Medicine,Health Sciences
Cultural Studies,1466-4348,Sociology & Social Sciences,100,100,28.5,4.0,241.5,120.11,23.5,75.0,crossref_assertion,Taylor and Francis Ltd.,9108,0.633,Arts and Humanities,Arts & Humanities
American Ethnologist,0094-0496,Sociology & Social Sciences,100,100,0.0,0.0,0.0,50.69,15.0,15.0,crossref_assertion,Wiley-Blackwell,3567,1.197,Social Sciences,Social Sciences
Journal of the American Statistical Association,0162-1459,Statistics,100,99,459.0,309.5,620.0,483.1313131313131,38.5,532.0,crossref_assertion,Taylor and Francis Ltd.,399,4.103,Decision Sciences,Social Sciences
Metrika,1435-926X,Statistics,101,98,399.5,289.75,544.0,452.6224489795918,29.0,447.0,crossref_assertion,Springer Verlag,11570,0.501,Decision Sciences,Social Sciences
Canadian Journal of Statistics,0319-5724,Statistics,102,102,356.5,279.5,459.0,374.1372549019608,110.0,479.0,crossref_assertion,Wiley-Blackwell,9870,0.588,Decision Sciences,Social Sciences
Statistical Methods and Applications,1618-2510,Statistics,33,33,338.0,241.0,426.0,354.42424242424244,27.0,372.0,crossref_assertion,,13544,0.411,Decision Sciences,Social Sciences
Scandinavian Journal of Statistics,1467-9469,Statistics,105,105,322.0,195.0,459.0,343.6857142857143,20.0,352.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,5990,0.871,Decision Sciences,Social Sciences
Journal of Applied Statistics,0266-4763,Statistics,100,100,291.0,227.25,424.75,365.77,21.5,312.5,crossref_assertion,Routledge,10547,0.552,Decision Sciences,Social Sciences
Journal of Biopharmaceutical Statistics,1054-3406,Statistics,101,101,285.0,199.0,434.0,330.7524752475247,22.0,306.0,crossref_assertion,Taylor and Francis Ltd.,10292,0.565,Mathematics,Physical Sciences
International Statistical Review,0306-7734,Statistics,100,100,284.5,195.75,369.5,295.34,31.5,314.0,crossref_assertion,John Wiley &amp; Sons Inc.,5498,0.922,Decision Sciences,Social Sciences
